School_Year,Run_Type,Reason,Boro,Bus_Company_Name,School_Age_or_PreK,Number_Of_Students_On_The_Bus,Occurred_On_Hour,Occurred_On_Month,How_Long_Delayed,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT
2018-2019,General Ed AM Run,Weather Conditions,Queens,BOBBY`S BUS CO. INC.,School-Age,0,6,1,61-90 Min,No,No,No
2018-2019,Special Ed AM Run,Flat Tire,Brooklyn,ALLIED TRANSIT CORP.,School-Age,0,5,10,31-45 Min,No,No,No
2021-2022,Special Ed AM Run,Other,Westchester,VAN TRANS LLC (B2192),School-Age,0,6,6,16-30 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,3,6,12,16-30 Min,No,No,No
2019-2020,General Ed AM Run,Heavy Traffic,Queens,EMPIRE STATE BUS CORP.,School-Age,2,6,1,16-30 Min,Yes,Yes,No
2021-2022,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,6,7,12,16-30 Min,Yes,Yes,Yes
2022-2023,Special Ed PM Run,Other,Queens,"LORINDA ENTERPRISES, LTD.",School-Age,0,13,4,61-90 Min,No,No,No
2019-2020,Special Ed AM Run,Mechanical Problem,Bronx,"BORO TRANSIT, INC.",School-Age,0,7,1,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Queens,PRIDE TRANSPORTATION (SCH AGE),School-Age,11,7,10,61-90 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,8,13,2,16-30 Min,No,No,No
2020-2021,Special Ed PM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,13,3,31-45 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,2,6,3,31-45 Min,Yes,Yes,Yes
2020-2021,Special Ed AM Run,Other,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,7,5,31-45 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Heavy Traffic,Manhattan,PRIDE TRANSPORTATION (SCH AGE),School-Age,2,6,12,0-15 Min,Yes,Yes,Yes
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,6,8,1,31-45 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,6,3,16-30 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,3,31-45 Min,Yes,Yes,Yes
2019-2020,General Ed PM Run,Other,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,11,11,16-30 Min,Yes,No,No
2022-2023,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,15,4,31-45 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,6,7,12,46-60 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,11,31-45 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,5,7,10,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,1,6,5,46-60 Min,No,No,No
2018-2019,Special Ed AM Run,Weather Conditions,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,2,7,11,46-60 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,0,6,9,0-15 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Other,Brooklyn,"NEW DAWN TRANSIT, LLC (B2321)",School-Age,2,6,10,16-30 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Bronx,G.V.C. LTD. (B2192),School-Age,7,8,1,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,1,61-90 Min,Yes,Yes,Yes
2018-2019,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,8,12,16-30 Min,Yes,No,No
2022-2023,Special Ed PM Run,Other,Queens,LOGAN BUS COMPANY INC.,School-Age,0,14,10,46-60 Min,No,No,No
2020-2021,Special Ed AM Run,Other,Queens,LOGAN BUS COMPANY INC.,School-Age,0,7,4,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,6,12,46-60 Min,No,No,No
2018-2019,Special Ed AM Run,Other,Brooklyn,Y & M TRANSIT CORP (B2192),School-Age,0,6,4,46-60 Min,Yes,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,6,11,46-60 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,7,8,10,31-45 Min,No,No,No
2022-2023,Special Ed AM Run,Other,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,7,1,61-90 Min,No,No,No
2020-2021,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,11,46-60 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Accident,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,9,5,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,6,8,5,31-45 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Flat Tire,Queens,FIRST STEPS TRANS INC. (B2192),School-Age,0,6,5,16-30 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,VAN TRANS LLC (B2192),School-Age,0,6,5,0-15 Min,Yes,Yes,Yes
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,PHILLIP BUS CORP (B2192),School-Age,2,8,10,31-45 Min,Yes,No,No
2021-2022,Special Ed AM Run,Problem Run,Staten Island,HOYT TRANSPORTATION CORP.,School-Age,0,7,10,16-30 Min,Yes,Yes,No
2021-2022,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,8,7,1,0-15 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Other,Queens,ALLIED TRANSIT CORP.,School-Age,0,13,6,16-30 Min,Yes,Yes,No
2021-2022,Special Ed PM Run,Heavy Traffic,Nassau County,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,5,15,12,16-30 Min,No,No,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,"DON THOMAS BUSES, INC.",Pre-K,3,7,1,0-15 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,6,7,3,0-15 Min,Yes,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Bronx,G.V.C. LTD. (B2192),School-Age,7,8,3,0-15 Min,Yes,Yes,No
2018-2019,Pre-K/EI,Won`t Start,Brooklyn,"FIRST STEPS TRANS, INC",Pre-K,0,15,5,16-30 Min,Yes,Yes,Yes
2020-2021,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,5,7,3,0-15 Min,No,No,No
2020-2021,Special Ed AM Run,Other,Brooklyn,Y & M TRANSIT CORP (B2192),School-Age,1,7,4,16-30 Min,Yes,No,No
2020-2021,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,12,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Nassau County,HOYT TRANSPORTATION CORP.,School-Age,0,12,1,0-15 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,5,6,4,31-45 Min,Yes,Yes,Yes
2020-2021,Special Ed AM Run,Heavy Traffic,Manhattan,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,7,2,31-45 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,8,2,31-45 Min,Yes,Yes,Yes
2018-2019,Special Ed PM Run,Other,Queens,FIRST STEPS TRANS INC. (B2192),School-Age,0,14,5,31-45 Min,Yes,No,Yes
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,5,7,2,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,10,46-60 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,1,46-60 Min,Yes,Yes,No
2020-2021,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,3,61-90 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Other,Queens,EMPIRE STATE BUS CORP.,School-Age,3,7,1,16-30 Min,No,No,No
2022-2023,Special Ed AM Run,Other,Manhattan,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,7,4,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,5,5,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,7,7,5,0-15 Min,Yes,Yes,No
2020-2021,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,1,46-60 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Queens,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,7,12,61-90 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Bronx,HOYT TRANSPORTATION CORP.,School-Age,4,7,11,0-15 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,15,5,31-45 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Heavy Traffic,Brooklyn,Y & M TRANSIT CORP (B2192),School-Age,8,8,2,46-60 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Staten Island,HOYT TRANSPORTATION CORP.,School-Age,0,10,3,16-30 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,11,46-60 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,5,8,12,31-45 Min,Yes,Yes,Yes
2022-2023,General Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,7,7,12,16-30 Min,No,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,3,7,10,16-30 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,6,5,16-30 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Bronx,VAN TRANS LLC (B2192),School-Age,12,8,2,16-30 Min,Yes,Yes,Yes
2018-2019,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,6,1,46-60 Min,Yes,Yes,Yes
2018-2019,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,7,7,6,61-90 Min,Yes,Yes,No
2019-2020,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,1,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,7,7,12,16-30 Min,No,No,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,1,13,2,31-45 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,0,7,1,16-30 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Other,Brooklyn,EMPIRE STATE BUS CORP.,School-Age,4,7,1,16-30 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,3,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,4,7,3,0-15 Min,Yes,Yes,No
2022-2023,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,5,15,1,31-45 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Other,Bronx,VAN TRANS LLC (B2192),School-Age,0,7,5,0-15 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,ALLIED TRANSIT CORP.,School-Age,5,6,2,16-30 Min,No,No,No
2019-2020,Special Ed AM Run,Flat Tire,Brooklyn,"NEW DAWN TRANSIT, LLC (B2321)",School-Age,0,6,10,46-60 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Queens,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,13,4,61-90 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,2,7,6,31-45 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,L & M BUS CORP (A),School-Age,3,9,9,31-45 Min,Yes,No,No
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,11,31-45 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Heavy Traffic,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,7,1,16-30 Min,Yes,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,9,1,0-15 Min,Yes,No,No
2021-2022,Special Ed PM Run,Problem Run,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,11,46-60 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Other,Brooklyn,"NEW DAWN TRANSIT, LLC (B2321)",School-Age,0,6,1,31-45 Min,Yes,Yes,Yes
2019-2020,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,6,11,31-45 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,1,6,10,31-45 Min,No,No,No
2022-2023,Special Ed AM Run,Other,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,11,61-90 Min,Yes,Yes,Yes
2020-2021,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,10,31-45 Min,Yes,Yes,No
2022-2023,General Ed PM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,14,11,31-45 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,VAN TRANS LLC (B2192),School-Age,0,6,10,0-15 Min,Yes,Yes,Yes
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,1,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,11,46-60 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,G.V.C. LTD. (B2192),School-Age,5,7,6,0-15 Min,Yes,Yes,No
2022-2023,General Ed PM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,14,9,31-45 Min,No,No,No
2020-2021,Special Ed AM Run,Heavy Traffic,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,7,1,31-45 Min,No,No,No
2021-2022,Special Ed AM Run,Other,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,6,2,46-60 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Bronx,HOYT TRANSPORTATION CORP.,School-Age,0,7,9,16-30 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,1,11,11,16-30 Min,Yes,Yes,No
2020-2021,General Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,1,8,6,16-30 Min,Yes,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Manhattan,PHILLIP BUS CORP (B2192),School-Age,3,8,3,31-45 Min,Yes,No,No
2019-2020,Special Ed PM Run,Other,Bronx,VAN TRANS LLC (B2192),School-Age,0,14,12,61-90 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,8,9,46-60 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Heavy Traffic,Queens,PRIDE TRANSPORTATION (SCH AGE),School-Age,0,8,2,31-45 Min,No,No,No
2019-2020,Special Ed AM Run,Mechanical Problem,Manhattan,"THOMAS BUSES, INC. (B2321)",School-Age,0,7,11,46-60 Min,Yes,Yes,No
2021-2022,Special Ed PM Run,Other,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,12,2,31-45 Min,Yes,Yes,No
2019-2020,Special Ed PM Run,Heavy Traffic,Nassau County,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,14,10,31-45 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Staten Island,FIRST STEPS TRANS INC. (B2192),School-Age,1,6,11,0-15 Min,Yes,Yes,Yes
2020-2021,Special Ed AM Run,Heavy Traffic,Nassau County,HOYT TRANSPORTATION CORP.,School-Age,2,8,5,0-15 Min,Yes,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,12,31-45 Min,Yes,Yes,No
2020-2021,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,4,46-60 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Other,Nassau County,CAREFUL BUS,School-Age,5,7,10,16-30 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Other,Bronx,G.V.C. LTD. (B2192),School-Age,0,7,1,61-90 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Other,Queens,LITTLE RICHIE BUS SERVICE,School-Age,0,13,5,61-90 Min,Yes,Yes,No
2021-2022,Special Ed PM Run,Other,Bronx,"DON THOMAS BUSES, INC. (B2321)",School-Age,3,14,5,61-90 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Staten Island,HOYT TRANSPORTATION CORP.,School-Age,3,7,11,16-30 Min,Yes,Yes,No
2022-2023,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,6,1,46-60 Min,No,No,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,"G.V.C., LTD.",Pre-K,12,8,11,16-30 Min,Yes,Yes,No
2019-2020,Pre-K/EI,Heavy Traffic,Bronx,SELBY TRANSPORTATION,Pre-K,2,7,9,61-90 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,8,9,16-30 Min,Yes,Yes,No
2022-2023,Special Ed PM Run,Other,Queens,LOGAN BUS COMPANY INC.,School-Age,0,14,9,61-90 Min,No,No,No
2022-2023,General Ed AM Run,Other,Queens,ALLIED TRANSIT CORP.,School-Age,2,7,12,16-30 Min,No,No,No
2019-2020,General Ed AM Run,Mechanical Problem,Brooklyn,JOFAZ TRANSPORTATION INC.,School-Age,0,6,1,31-45 Min,Yes,No,No
2019-2020,Special Ed PM Run,Other,Bronx,G.V.C. LTD. (B2192),School-Age,0,15,3,16-30 Min,Yes,Yes,No
2021-2022,General Ed PM Run,Heavy Traffic,Manhattan,SNT BUS INC,School-Age,0,15,11,16-30 Min,Yes,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,4,6,2,16-30 Min,No,No,No
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,PIONEER TRANSPORTATION CORP,School-Age,5,6,5,16-30 Min,Yes,No,Yes
2021-2022,General Ed AM Run,Heavy Traffic,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,8,1,16-30 Min,No,No,No
2018-2019,General Ed PM Run,Late return from Field Trip,Queens,QUALITY TRANSPORTATION CORP.,School-Age,0,13,11,31-45 Min,No,No,No
2018-2019,General Ed PM Run,Late return from Field Trip,Bronx,LOGAN TRANSPORTATION SYSTEMS,School-Age,0,14,6,31-45 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,3,46-60 Min,Yes,Yes,No
2018-2019,Special Ed PM Run,Heavy Traffic,Bronx,VAN TRANS LLC (B2192),School-Age,8,15,1,46-60 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Queens,ALL AMERICAN SCHOOL BUS CORP.,School-Age,0,7,4,0-15 Min,Yes,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,7,9,31-45 Min,Yes,Yes,No
2021-2022,General Ed AM Run,Problem Run,Staten Island,PIONEER TRANSPORTATION CORP,School-Age,0,15,10,31-45 Min,Yes,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,1,61-90 Min,Yes,Yes,Yes
2021-2022,Special Ed AM Run,Heavy Traffic,Staten Island,HOYT TRANSPORTATION CORP.,School-Age,0,5,3,16-30 Min,Yes,Yes,No
2021-2022,General Ed AM Run,Other,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,School-Age,4,7,12,16-30 Min,No,No,No
2022-2023,Special Ed AM Run,Other,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,8,9,16-30 Min,Yes,No,No
2020-2021,Special Ed AM Run,Heavy Traffic,Bronx,VAN TRANS LLC (B2192),School-Age,0,6,2,0-15 Min,Yes,Yes,Yes
2018-2019,Special Ed PM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,5,31-45 Min,Yes,Yes,No
2021-2022,Pre-K/EI,Delayed by School,Brooklyn,L & M BUS CORP.,Pre-K,0,15,10,31-45 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),School-Age,4,7,5,61-90 Min,Yes,No,No
2019-2020,Special Ed AM Run,Heavy Traffic,Nassau County,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,3,6,11,31-45 Min,Yes,Yes,Yes
2022-2023,Special Ed AM Run,Mechanical Problem,Nassau County,"BORO TRANSIT, INC.",School-Age,0,6,1,0-15 Min,Yes,Yes,No
2021-2022,Special Ed PM Run,Problem Run,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,13,10,46-60 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,School-Age,0,6,5,31-45 Min,Yes,Yes,Yes
2018-2019,General Ed AM Run,Mechanical Problem,Manhattan,SNT BUS INC,School-Age,0,7,3,46-60 Min,No,No,No
2022-2023,General Ed AM Run,Problem Run,Manhattan,SNT BUS INC,School-Age,0,6,11,31-45 Min,Yes,No,No
2020-2021,Special Ed AM Run,Mechanical Problem,New Jersey,"RELIANT TRANSPORTATION, INC (B2321)",School-Age,0,6,3,31-45 Min,No,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Brooklyn,L & M BUS CORP (A),School-Age,2,6,12,31-45 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,2,6,4,16-30 Min,No,No,No
2021-2022,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,3,8,3,31-45 Min,Yes,Yes,No
2019-2020,Special Ed AM Run,Heavy Traffic,Westchester,CHILDREN`S TRANS INC. (B2321),School-Age,2,7,12,16-30 Min,Yes,Yes,Yes
2018-2019,Special Ed AM Run,Other,Bronx,LITTLE LISA BUS CO. INC.,School-Age,0,6,10,31-45 Min,Yes,Yes,No
2022-2023,Special Ed PM Run,Heavy Traffic,Queens,L & M BUS CORP (A),School-Age,1,16,12,61-90 Min,No,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Bronx,"BORO TRANSIT, INC.",School-Age,2,7,11,16-30 Min,Yes,Yes,No
2018-2019,General Ed AM Run,Mechanical Problem,Brooklyn,SNT BUS INC,School-Age,0,6,12,61-90 Min,Yes,No,No
2020-2021,Special Ed AM Run,Other,Brooklyn,EMPIRE CHARTER SERVICE INC,School-Age,3,7,12,46-60 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,"CONSOLIDATED BUS TRANSIT, INC.",School-Age,0,6,3,31-45 Min,No,No,No
2018-2019,Special Ed AM Run,Accident,Bronx,VAN TRANS LLC (B2192),School-Age,1,6,2,31-45 Min,Yes,Yes,Yes
2019-2020,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,2,16-30 Min,Yes,Yes,No
2018-2019,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,6,5,31-45 Min,Yes,Yes,No
2021-2022,Special Ed AM Run,Heavy Traffic,Brooklyn,"BORO TRANSIT, INC.",School-Age,4,8,11,16-30 Min,Yes,No,No
2022-2023,Special Ed AM Run,Heavy Traffic,Manhattan,LEESEL TRANSPORTATION CORP (B2192),School-Age,0,5,3,46-60 Min,Yes,Yes,Yes
2018-2019,General Ed PM Run,Late return from Field Trip,Queens,ALLIED TRANSIT CORP.,School-Age,0,12,4,31-45 Min,Yes,No,No
2018-2019,General Ed AM Run,Late return from Field Trip,Brooklyn,"BORO TRANSIT, INC.",School-Age,0,13,5,16-30 Min,Yes,No,No
2022-2023,Special Ed AM Run,Other,Bronx,G.V.C. LTD. (B2192),School-Age,0,6,2,61-90 Min,Yes,Yes,No
2022-2023,Special Ed AM Run,Other,Queens,LOGAN BUS COMPANY INC.,School-Age,0,7,9,61-90 Min,No,No,No
2022-2023,Pre-K/EI,Other,Brooklyn,L & M BUS CORP.,Pre-K,0,6,6,61-90 Min,Yes,Yes,No
